Sector,Bank,Qtr,OUTSTANDING No. AT THE END OF THE PREVIOUS QUARTER,OUTSTANDING AMOUNT AT THE END OF THE PREVIOUS QUARTER,No. OF APPLICATION RECEIVED DURING THE QUARTER,No. OF APPLICATIONS SANCTIONED DURING THE QUARTER,TOTAL AMOUNT SANCTIONED DURING THE QUARTER,No. OF  DISBURSALS DURING THE QUARTER,TOTAL AMOUNT  DISBURSED DURING THE QUARTER,OUTSTANDING No. AT THE END OF THE QUARTER,TOTAL OUTSTANDING AMOUNT AT THE END OF THE QUARTER
Private,BANK OF RAJASTHAN,01-Jun-13,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Sep-13,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Dec-13,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Mar-14,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Jun-14,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Sep-14,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Dec-14,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Mar-15,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Jun-15,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Sep-15,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Dec-15,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Mar-16,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Jun-16,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Sep-16,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Dec-16,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Mar-17,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Jun-17,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Sep-17,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Dec-17,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Mar-18,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Jun-18,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Sep-18,,,,,,,,,
Private,BANK OF RAJASTHAN,01-Dec-18,,,,,,,,,
Private,CATHOLIC SYRIAN BANK,01-Mar-09,,,,,,,,,
Private,CATHOLIC SYRIAN BANK,01-Jun-09,23103,10660,4452,4251,2201,4107,2131,25922.00,12078
Private,CATHOLIC SYRIAN BANK,01-Sep-09,25922,12078,4556,4370,2048,3958,1982,24694.00,12468
Private,CATHOLIC SYRIAN BANK,01-Dec-09,,,,,,,,,
Private,CATHOLIC SYRIAN BANK,01-Mar-10,36973,18113,44531,44524,19816.99,44524,19816.99,101479.00,50773.25
Private,CATHOLIC SYRIAN BANK,01-Jun-10,101479,50773.25,9923,9917,5182.05,9917,5182.05,24845.00,10039.45
Private,CATHOLIC SYRIAN BANK,01-Sep-10,24845,10039.45,10541,10534,6410.08,10534,6410,28998.00,11219.99
Private,CATHOLIC SYRIAN BANK,01-Dec-10,28998,11219.99,11314,10303,5757.91,10303,5757.91,33211.00,17550.75
Private,CATHOLIC SYRIAN BANK,01-Mar-11,33211,17550.75,22812,22789,10362.21,22789,10362.21,51265.00,27656.11
Private,CATHOLIC SYRIAN BANK,01-Jun-11,51265,27656.11,20617,20609,9454.06,20609,9454.06,51850.00,27757.5
Private,CATHOLIC SYRIAN BANK,01-Sep-11,51850,27757.5,22199,22193,11007,22193,11007,51470.00,29031
Private,CATHOLIC SYRIAN BANK,01-Dec-11,51470,29031,22212,22212,11720.1,22212,11720.1,50212.00,29192.5
Private,CATHOLIC SYRIAN BANK,01-Mar-12,50212,29192.5,24130,24130,13651.52,24130,13651.52,52156.00,31622.23
Private,CATHOLIC SYRIAN BANK,01-Jun-12,52156,31622.23,16592,16592,8846.15,16592,8846.15,49697.00,29734.89
Private,CATHOLIC SYRIAN BANK,01-Sep-12,49697,29734.89,8455,8455,6135.29,8455,6135.29,40478.00,26929.92
Private,CATHOLIC SYRIAN BANK,01-Dec-12,,,,,,,,,
Private,CATHOLIC SYRIAN BANK,01-Mar-13,29928,21479.18,4195,4182,3647.49,4182,3647.49,23578.00,18652.44
Private,CATHOLIC SYRIAN BANK,01-Jun-13,23578,18652.44,4004,3988,2632.67,3988,2632.67,18494.00,15949.19
Private,CATHOLIC SYRIAN BANK,01-Sep-13,18494,15949.19,3366,3346,2866.28,3346,2866.28,17365.00,16079.55
Private,CATHOLIC SYRIAN BANK,01-Dec-13,17365,16079.55,3542,3507,3438.69,3507,2419.97,18026.00,16273.72
Private,CATHOLIC SYRIAN BANK,01-Mar-14,18026,16273.72,5647,5615,4335.28,5615,4335.28,18372.00,17406.87
Private,CATHOLIC SYRIAN BANK,01-Jun-14,18372,17406.87,5588,4336,5175.32,4336,5175.32,21425.00,19452.23
Private,CATHOLIC SYRIAN BANK,01-Sep-14,21425,19452.23,0,0,0,6755,8884.01,34198.00,28282.12
Private,CATHOLIC SYRIAN BANK,01-Dec-14,34198,28282.12,0,0,0,19511,9722,3090.00,3099
Private,CATHOLIC SYRIAN BANK,01-Mar-15,3090,3099,,,,,,94670.00,71436.04
Private,CATHOLIC SYRIAN BANK,01-Jun-15,94670,71436.04,0,0,0,39536,21490.08,27567.00,24972.99
Private,CATHOLIC SYRIAN BANK,01-Sep-15,27567,24972.99,0,0,0,21319,11325,62375.00,42514
Private,CATHOLIC SYRIAN BANK,01-Dec-15,62375,42514,0,95,347.06,187,179.77,51163.00,38036.08
Private,CATHOLIC SYRIAN BANK,01-Mar-16,51163,38036.08,0,0,0,21917,12611.91,29246.00,25424.17
Private,CATHOLIC SYRIAN BANK,01-Jun-16,29246,25424.17,0,0,0,21004,11347.31,29388.00,28091
Private,CATHOLIC SYRIAN BANK,01-Sep-16,29388,28091,0,0,0,24925,14932.88,29287.00,26312.78
Private,CATHOLIC SYRIAN BANK,01-Dec-16,29287,26312.78,0,0,0,16961,8701.75,30281.00,26888
Private,CATHOLIC SYRIAN BANK,01-Mar-17,,,,,,,,,
Private,CATHOLIC SYRIAN BANK,01-Jun-17,,,,,,,,,
Private,CATHOLIC SYRIAN BANK,01-Sep-17,31936,28023.96,0,0,0,26484,17850.4,32577.00,28477.35
Private,CATHOLIC SYRIAN BANK,01-Dec-17,,,,,,,,,
Private,CATHOLIC SYRIAN BANK,01-Mar-18,33198,29017,24606,24606,16008,24606,16008,32646.00,28592
Private,CATHOLIC SYRIAN BANK,01-Jun-18,32646,28592,25926,25926,16981,25926,16981,56723.00,47671
Private,CATHOLIC SYRIAN BANK,01-Sep-18,56723,47671,30786,30786,21585,30786,21585,61785.00,52082
Private,CATHOLIC SYRIAN BANK,01-Dec-18,,,,,,,,,
Private,DHANALAKSHMI BANK LT,01-Mar-09,,,,,,,,,
Private,DHANALAKSHMI BANK LT,01-Jun-09,22469,11137.71,1031,964,402.33,950,395.65,23418.00,11531.88
Private,DHANALAKSHMI BANK LT,01-Sep-09,23418,11531.88,524,468,261.95,468,261.54,23873.00,11792.79
Private,DHANALAKSHMI BANK LT,01-Dec-09,,,,,,,,,
Private,DHANALAKSHMI BANK LT,01-Mar-10,23943,11897.67,674,642,431.25,632,417.52,24171.00,12147.07
Private,DHANALAKSHMI BANK LT,01-Jun-10,24171,12147.07,0,0,0,0,0,23943.00,11897.67
Private,DHANALAKSHMI BANK LT,01-Sep-10,23943,11897.67,598,586,406.93,586,401.64,23903.00,12156.63
Private,DHANALAKSHMI BANK LT,01-Dec-10,23903,12156.63,687,678,464.32,673,459.61,24240.00,13319.28
Private,DHANALAKSHMI BANK LT,01-Mar-11,24240,13319.28,834,909,524,909,524,25142.00,13771
Private,DHANALAKSHMI BANK LT,01-Jun-11,25142,13771,1664,1643,849,1630,877,25834.00,14328
Private,DHANALAKSHMI BANK LT,01-Sep-11,25834,14328,2274,2256,1162,2249,1158,26457.00,15167
Private,DHANALAKSHMI BANK LT,01-Dec-11,26457,15167,2416,2404,1310,2404,1310,27526.00,15912
Private,DHANALAKSHMI BANK LT,01-Mar-12,27526,15912,1905,1893,1174,1892,1173,26920.00,15669
Private,DHANALAKSHMI BANK LT,01-Jun-12,26920,15669,2060,2022,5230,2009,1300,15691.00,10319
Private,DHANALAKSHMI BANK LT,01-Sep-12,15691,10319,5092,3927,7136.7,4078,7946.97,19664.00,15505.42
Private,DHANALAKSHMI BANK LT,01-Dec-12,,,,,,,,,
Private,DHANALAKSHMI BANK LT,01-Mar-13,20608,16517.65,3714,3314,5936.63,3275,6430.93,21927.00,19873.34
Private,DHANALAKSHMI BANK LT,01-Jun-13,21927,19873.34,9941.62,6947,9064.55,6907,4937.34,19446.00,17195.52
Private,DHANALAKSHMI BANK LT,01-Sep-13,19446,17195.52,15314,15272,21176.57,15242,12993.02,31535.00,38887.14
Private,DHANALAKSHMI BANK LT,01-Dec-13,31535,38887.14,15398,15310,15945.24,15246,15830.12,28266.00,28188.49
Private,DHANALAKSHMI BANK LT,01-Mar-14,28266,28188.49,11254,11246,9542.82,9685,8547.97,28568.00,40382.87
Private,DHANALAKSHMI BANK LT,01-Jun-14,28568,40382.87,20273,9272,6927.46,9324,6919.46,27513.00,39282.25
Private,DHANALAKSHMI BANK LT,01-Sep-14,27513,39282.25,15015,14815,9378,14815,9378,25350.00,36773
Private,DHANALAKSHMI BANK LT,01-Dec-14,25350,36773,14076,14076,9476,14876,9476,28725.00,37860
Private,DHANALAKSHMI BANK LT,01-Mar-15,28725,37860,,,,,,40106.00,147619
Private,DHANALAKSHMI BANK LT,01-Jun-15,40106,147619,19522,19522,54686,19522,54686,45878.00,114867
Private,DHANALAKSHMI BANK LT,01-Sep-15,45878,114867,20874,20874,16961,20874,16961,48167.00,132503
Private,DHANALAKSHMI BANK LT,01-Dec-15,48167,132503,377,377,306.72,377,306.72,45294.00,128727.28
Private,DHANALAKSHMI BANK LT,01-Mar-16,45294,128727.28,12315,12315,28953.96,12315,28953.96,48953.00,249863.16
Private,DHANALAKSHMI BANK LT,01-Jun-16,48953,249863.16,11946,11946,25540.68,11946,25540.68,56091.00,366364.2
Private,DHANALAKSHMI BANK LT,01-Sep-16,56091,366364.2,9098,9098,16386.71,9098,16386.71,40874.00,172708.18
Private,DHANALAKSHMI BANK LT,01-Dec-16,40874,172708.18,9077,9077,15182.36,9077,15182.36,42376.00,161090.2
Private,DHANALAKSHMI BANK LT,01-Mar-17,,,,,,,,,
Private,DHANALAKSHMI BANK LT,01-Jun-17,,,,,,,,,
Private,DHANALAKSHMI BANK LT,01-Sep-17,45430,245003.64,12528,12528,36544.46,12942,39525.2,45928.00,236699.52
Private,DHANALAKSHMI BANK LT,01-Dec-17,,,,,,,,,
Private,DHANALAKSHMI BANK LT,01-Mar-18,46876,259328,2160,2160,16320,19868,44382,49880.00,253356
Private,DHANALAKSHMI BANK LT,01-Jun-18,49880,253356,13189,20355,29158,12590,35471,47669.00,252498
Private,DHANALAKSHMI BANK LT,01-Sep-18,47669,252498,11543,22972,31958,11491,31701,46843.00,216067
Private,DHANALAKSHMI BANK LT,01-Dec-18,,,,,,,,,
Private,THE FEDERAL BANK LTD,01-Mar-09,,,,,,,,,
Private,THE FEDERAL BANK LTD,01-Jun-09,,,,,,,,,
Private,THE FEDERAL BANK LTD,01-Sep-09,48742,97669.05,3886,3886,5181.25,3870,5114.41,48451.00,98409.33
Private,THE FEDERAL BANK LTD,01-Dec-09,48451,98409.33,7789,7789,12152.19,7780,12022.22,48226.00,100810.84
Private,THE FEDERAL BANK LTD,01-Mar-10,48270,102528.16,15110,15110,27985.55,15052,27484.36,48439.00,107214.08
Private,THE FEDERAL BANK LTD,01-Jun-10,48439,107214.08,4377,4377,6325.79,4377,6191.39,48254.00,107042.5
Private,THE FEDERAL BANK LTD,01-Sep-10,48254,107042.5,10543,10543,14716.92,10543,14716.92,50295.00,109399.1
Private,THE FEDERAL BANK LTD,01-Dec-10,50295,109399.1,15885,15885,16472.03,15885,16472.03,57705.00,114401.08
Private,THE FEDERAL BANK LTD,01-Mar-11,57705,114401.08,0,18790,19843.79,20078,19460.69,64835.00,122592.59
Private,THE FEDERAL BANK LTD,01-Jun-11,64835,122592.59,0,17343,16126.98,18631,16468.77,69267.00,124471.42
Private,THE FEDERAL BANK LTD,01-Sep-11,69267,124471.42,0,39078,41754.8,41896,38314.66,146208.00,255781
Private,THE FEDERAL BANK LTD,01-Dec-11,146208,255781,0,22841,23955.45,24336,21888.69,75970.00,128467.52
Private,THE FEDERAL BANK LTD,01-Mar-12,75970,128467.52,0,24476,23241,25751,22821,78597.00,132831
Private,THE FEDERAL BANK LTD,01-Jun-12,78597,132831,27473,27473,24621.2,28977,25000.22,83284.00,134100
Private,THE FEDERAL BANK LTD,01-Sep-12,83284,134100,36092,36092,35530.85,39087,33573.79,94093.00,144860.84
Private,THE FEDERAL BANK LTD,01-Dec-12,,,,,,,,,
Private,THE FEDERAL BANK LTD,01-Mar-13,98016,148815.31,33355,33355,38409.9,33708,35447.34,102500.00,159618.03
Private,THE FEDERAL BANK LTD,01-Jun-13,102500,159618.03,0,30292,29555.45,32182,29172.9,101208.00,157224.97
Private,THE FEDERAL BANK LTD,01-Sep-13,101208,157224.97,0,36691,37269.87,28893,35837.68,14854.00,165678.43
Private,THE FEDERAL BANK LTD,01-Dec-13,14854,165678.43,0,29669,29578.25,31894,29292.77,99428.00,160076.4
Private,THE FEDERAL BANK LTD,01-Mar-14,99428,160076.4,0,44578,45896.16,45948,44963.38,112991.00,186359.06
Private,THE FEDERAL BANK LTD,01-Jun-14,112991,186359.06,0,41243,37415.85,42672,37875.25,121174.00,195182.49
Private,THE FEDERAL BANK LTD,01-Sep-14,121174,195182.49,0,42980,42414.77,44550,42064.77,132421.00,211847.97
Private,THE FEDERAL BANK LTD,01-Dec-14,132421,211847.97,0,35394,33407,37380,32432,136663.00,217770
Private,THE FEDERAL BANK LTD,01-Mar-15,136663,217770,,,,,,143771.00,230882.54
Private,THE FEDERAL BANK LTD,01-Jun-15,143771,230882.54,0,37108,34473.4,47153,40578.97,142667.00,231808.65
Private,THE FEDERAL BANK LTD,01-Sep-15,142667,231808.65,0,36999,36350,42036,39780,136915.00,230434
Private,THE FEDERAL BANK LTD,01-Dec-15,136915,230434,1174,1018,3268.06,3363,2233.01,133278.00,233395.22
Private,THE FEDERAL BANK LTD,01-Mar-16,133278,233395.22,0,78727,72564.13,87521,72706.01,229446.00,312441.8
Private,THE FEDERAL BANK LTD,01-Jun-16,29446,312441.8,78731,78731,66392.77,83103,69837.3,232640.00,314993.84
Private,THE FEDERAL BANK LTD,01-Sep-16,232640,314993.84,0,75611,71743.01,79982,75743.99,230921.00,331440.48
Private,THE FEDERAL BANK LTD,01-Dec-16,230921,331440.48,73745,61455,56504.56,66352,58313.29,230413.00,334197.15
Private,THE FEDERAL BANK LTD,01-Mar-17,,,,,,,,,
Private,THE FEDERAL BANK LTD,01-Jun-17,,,,,,,,,
Private,THE FEDERAL BANK LTD,01-Sep-17,238369,359576.37,97813.98,78936,80686.05,82646,83273.22,241073.00,375125.59
Private,THE FEDERAL BANK LTD,01-Dec-17,246501,390143,60102,136141,140230,145471,145285,229695.00,403839
Private,THE FEDERAL BANK LTD,01-Mar-18,229695,403839,96581,80654,85293,84836,87506,234061.00,423836
Private,THE FEDERAL BANK LTD,01-Jun-18,234061,423836,64499,137101,140810,83870,89498,239982.00,440641
Private,KARNATAKA BANK LTD,01-Mar-09,,,,,,,,,
Private,KARNATAKA BANK LTD,01-Jun-09,430,428.86,31,31,29.09,31,29.09,438.00,444.54
Private,KARNATAKA BANK LTD,01-Sep-09,438,444.54,2,2,0.29,2,0.29,427.00,464.42
Private,KARNATAKA BANK LTD,01-Dec-09,,,,,,,,,
Private,KARNATAKA BANK LTD,01-Mar-10,306,389.84,19,19,23.8,19,23.8,338.00,395.15
Private,KARNATAKA BANK LTD,01-Jun-10,338,395.15,3,3,11.5,3,11.5,296.00,349.37
Private,KARNATAKA BANK LTD,01-Sep-10,296,349.37,53,53,83.04,53,81.04,349.00,777.45
Private,KARNATAKA BANK LTD,01-Dec-10,349,777.45,41,41,40.77,41,40.77,475.00,735.19
Private,KARNATAKA BANK LTD,01-Mar-11,475,735.19,40,61,111.44,61,111.44,479.00,737.82
Private,KARNATAKA BANK LTD,01-Jun-11,479,737.82,156,156,212.09,156,212.09,566.00,925.91
Private,KARNATAKA BANK LTD,01-Sep-11,566,925.91,193,193,232.71,193,256.69,625.00,1017.84
Private,KARNATAKA BANK LTD,01-Dec-11,625,1017.84,156,144,195.05,144,195.05,728.00,1145.2
Private,KARNATAKA BANK LTD,01-Mar-12,728,1145.2,71,71,149.39,71,149.39,603.00,1073.58
Private,KARNATAKA BANK LTD,01-Jun-12,603,1073.58,2,2,2.8,2,2.8,691.00,826.78
Private,KARNATAKA BANK LTD,01-Sep-12,691,826.78,119,119,306.3,119,306.3,814.00,1426.18
Private,KARNATAKA BANK LTD,01-Dec-12,,,,,,,,,
Private,KARNATAKA BANK LTD,01-Mar-13,573,1090.51,107,140,394.53,140,394.53,591.00,1424.05
Private,KARNATAKA BANK LTD,01-Jun-13,591,1424.05,35,145,332.07,145,332.07,629.00,1436
Private,KARNATAKA BANK LTD,01-Sep-13,629,1436,95,114,159.58,114,162.43,695.00,1289.17
Private,KARNATAKA BANK LTD,01-Dec-13,695,1289.17,103,103,103,103,103,605.00,1183.32
Private,KARNATAKA BANK LTD,01-Mar-14,605,1183.32,111,128,175.43,128,170.09,666.00,1105.47
Private,KARNATAKA BANK LTD,01-Jun-14,666,1105.47,28,28,19.73,28,19.73,675.00,1107.98
Private,KARNATAKA BANK LTD,01-Sep-14,675,1107.98,34,34,74.65,34,68.75,811.00,1198.64
Private,KARNATAKA BANK LTD,01-Dec-14,811,1198.64,36,41,78,41,77,858.00,1298
Private,KARNATAKA BANK LTD,01-Mar-15,858,1298,,,,,,0.00,0
Private,KARNATAKA BANK LTD,01-Jun-15,0,0,0,0,0,0,0,0.00,0
Private,KARNATAKA BANK LTD,01-Sep-15,0,0,14,14,5,14,4,0.00,0
Private,KARNATAKA BANK LTD,01-Dec-15,0,0,4,4,12,4,7,417.00,626
Private,KARNATAKA BANK LTD,01-Mar-16,417,626,188,188,312.42,188,185.67,647.00,906
Private,KARNATAKA BANK LTD,01-Jun-16,647,906,179,179,315.42,179,262.15,846.00,1541
Private,KARNATAKA BANK LTD,01-Sep-16,846,1541,463,406,1016,406,955,406.00,969
Private,KARNATAKA BANK LTD,01-Dec-16,406,969,367,344,1249,344,1137,1720.00,5405.2
Private,KARNATAKA BANK LTD,01-Mar-17,,,,,,,,,
Private,KARNATAKA BANK LTD,01-Jun-17,,,,,,,,,
Private,KARNATAKA BANK LTD,01-Sep-17,1830,6321,260,260,513,260,459,1811.00,6966
Private,KARNATAKA BANK LTD,01-Dec-17,,,,,,,,,
Private,KARNATAKA BANK LTD,01-Mar-18,1728,7153,305,305,737,305,541,1703.00,6404
Private,KARNATAKA BANK LTD,01-Jun-18,1703,6404,284,284,718,284,558,1649.00,6800
Private,KARNATAKA BANK LTD,01-Sep-18,1649,6800,500,500,1018,500,809,1795.00,7102
Private,KARNATAKA BANK LTD,01-Dec-18,,,,,,,,,
Private,KARUR VYSYA BANK LTD,01-Mar-09,,,,,,,,,
Private,KARUR VYSYA BANK LTD,01-Jun-09,262,87.91,2,2,1,2,1,262.00,87.91
Private,KARUR VYSYA BANK LTD,01-Sep-09,262,87.91,0,0,0,0,0,262.00,87.91
Private,KARUR VYSYA BANK LTD,01-Dec-09,,,,,,,,,
Private,KARUR VYSYA BANK LTD,01-Mar-10,246,87.15,0,0,0,0,0,246.00,87.15
Private,KARUR VYSYA BANK LTD,01-Jun-10,246,87.15,0,0,0,0,0,246.00,87.15
Private,KARUR VYSYA BANK LTD,01-Sep-10,246,87.15,17,17,31,17,31,427.00,249.41
Private,KARUR VYSYA BANK LTD,01-Dec-10,427,249.41,0,0,0,0,0,427.00,249.41
Private,KARUR VYSYA BANK LTD,01-Mar-11,427,249.41,0,0,0,17,31,422.00,246.35
Private,KARUR VYSYA BANK LTD,01-Jun-11,422,246.35,0,0,0,11,29,434.00,267.1
Private,KARUR VYSYA BANK LTD,01-Sep-11,434,267.1,0,0,0,22,58,868.00,534.2
Private,KARUR VYSYA BANK LTD,01-Dec-11,868,534.2,11,11,29,11,29,483.00,286.3
Private,KARUR VYSYA BANK LTD,01-Mar-12,483,286.3,0,0,0,0,0,244.00,176.11
Private,KARUR VYSYA BANK LTD,01-Jun-12,244,176.11,0,0,0,0,0,244.00,176.11
Private,KARUR VYSYA BANK LTD,01-Sep-12,244,176.11,0,0,0,0,0,226.00,181.35
Private,KARUR VYSYA BANK LTD,01-Dec-12,,,,,,,,,
Private,KARUR VYSYA BANK LTD,01-Mar-13,11,5.27,0,0,0,0,0,11.00,5.27
Private,KARUR VYSYA BANK LTD,01-Jun-13,11,5.27,0,0,0,0,0,33.00,36.73
Private,KARUR VYSYA BANK LTD,01-Sep-13,33,36.73,0,0,0,0,0,255.00,41.69
Private,KARUR VYSYA BANK LTD,01-Dec-13,255,41.69,1,1,6,1,6,60.00,154.72
Private,KARUR VYSYA BANK LTD,01-Mar-14,60,154.72,0,0,0,0,0,98.00,38.25
Private,KARUR VYSYA BANK LTD,01-Jun-14,98,38.25,74,74,11.1,0,0,101.00,40.59
Private,KARUR VYSYA BANK LTD,01-Sep-14,101,40.59,52,52,7.8,52,7.8,82.00,46
Private,KARUR VYSYA BANK LTD,01-Dec-14,82,46,119,101,20,101,20,133.00,44
Private,KARUR VYSYA BANK LTD,01-Mar-15,133,44,,,,,,218.00,63.22
Private,KARUR VYSYA BANK LTD,01-Jun-15,218,63.22,71,71,14.2,0,0,218.00,62.63
Private,KARUR VYSYA BANK LTD,01-Sep-15,218,62.63,0,0,0,0,0,0.00,0
Private,KARUR VYSYA BANK LTD,01-Dec-15,0,0,9,9,15.82,10,13.56,0.00,0
Private,KARUR VYSYA BANK LTD,01-Mar-16,0,0,0,0,0,0,0,0.00,0
Private,KARUR VYSYA BANK LTD,01-Jun-16,0,0,0,0,0,0,0,0.00,0
Private,KARUR VYSYA BANK LTD,01-Sep-16,0,0,0,0,0,0,0,0.00,0
Private,KARUR VYSYA BANK LTD,01-Dec-16,0,0,0,0,0,0,0,0.00,0
Private,KARUR VYSYA BANK LTD,01-Mar-17,0,0,0,0,0,0,0,0.00,0
Private,KARUR VYSYA BANK LTD,01-Jun-17,0,0,0,0,0,0,0,0.00,0
Private,KARUR VYSYA BANK LTD,01-Sep-17,0,0,0,0,0,0,0,0.00,0
Private,KARUR VYSYA BANK LTD,01-Dec-17,0,0,0,0,0,0,0,0.00,0
Private,KARUR VYSYA BANK LTD,01-Mar-18,0,0,0,0,0,0,0,0.00,0
Private,KARUR VYSYA BANK LTD,01-Jun-18,0,0,0,0,0,0,0,0.00,0
Private,KARUR VYSYA BANK LTD,01-Sep-18,0,0,0,0,0,0,0,0.00,0
Private,KARUR VYSYA BANK LTD,01-Dec-18,,,,,,,,,
Private,LAXMIVILAS BANK LTD,01-Mar-09,,,,,,,,,
Private,LAXMIVILAS BANK LTD,01-Jun-09,43,17.01,0,0,0,0,0,43.00,17.01
Private,LAXMIVILAS BANK LTD,01-Sep-09,43,17.01,1,1,0.5,1,0.5,42.00,23.18
Private,LAXMIVILAS BANK LTD,01-Dec-09,,,,,,,,,
Private,LAXMIVILAS BANK LTD,01-Mar-10,42,136.85,0,0,0,0,0,32.00,16.77
Private,LAXMIVILAS BANK LTD,01-Jun-10,32,16.77,0,0,0,0,0,26.00,15.75
Private,LAXMIVILAS BANK LTD,01-Sep-10,26,15.75,0,0,0,0,0,26.00,16.75
Private,LAXMIVILAS BANK LTD,01-Dec-10,26,16.75,0,0,0,0,0,26.00,16.75
Private,LAXMIVILAS BANK LTD,01-Mar-11,26,16.75,0,0,0,0,0,27.00,21.23
Private,LAXMIVILAS BANK LTD,01-Jun-11,27,21.23,0,0,0,0,0,27.00,21.26
Private,LAXMIVILAS BANK LTD,01-Sep-11,27,21.26,1,1,15,1,15,33.00,39.22
Private,LAXMIVILAS BANK LTD,01-Dec-11,33,39.22,7,7,4,7,4,35.00,34.06
Private,LAXMIVILAS BANK LTD,01-Mar-12,35,34.06,0,0,0,0,0,15.00,2.74
Private,LAXMIVILAS BANK LTD,01-Jun-12,15,2.74,0,0,0,0,0,15.00,274
Private,LAXMIVILAS BANK LTD,01-Sep-12,15,274,0,0,0,0,0,16.00,3
Private,LAXMIVILAS BANK LTD,01-Dec-12,,,,,,,,,
Private,LAXMIVILAS BANK LTD,01-Mar-13,12,1.68,1,1,3,1,3,13.00,5.08
Private,LAXMIVILAS BANK LTD,01-Jun-13,13,5.08,8,8,11.25,8,11.25,22.00,13.17
Private,LAXMIVILAS BANK LTD,01-Sep-13,22,13.17,0,0,0,0,0,14.00,2.12
Private,LAXMIVILAS BANK LTD,01-Dec-13,14,2.12,0,0,0,0,0,14.00,2.07
Private,LAXMIVILAS BANK LTD,01-Mar-14,14,2.07,0,1,22.61,1,22.61,15.00,24.73
Private,LAXMIVILAS BANK LTD,01-Jun-14,15,24.73,0,0,0,0,0,9.00,16.8
Private,LAXMIVILAS BANK LTD,01-Sep-14,9,16.8,0,0,0,0,0,15.00,16.52
Private,LAXMIVILAS BANK LTD,01-Dec-14,15,16.52,0,0,0,0,0,14.00,2
Private,LAXMIVILAS BANK LTD,01-Mar-15,14,2,,,,,,394.00,450.83
Private,LAXMIVILAS BANK LTD,01-Jun-15,394,450.83,156,155,159.52,155,158.21,549.00,609.04
Private,LAXMIVILAS BANK LTD,01-Sep-15,549,609.04,227,226,255,226,255,481.00,566
Private,LAXMIVILAS BANK LTD,01-Dec-15,,,,,,,,,
Private,LAXMIVILAS BANK LTD,01-Mar-16,481,565.98,234,234,256.79,234,256.79,735.00,823.11
Private,LAXMIVILAS BANK LTD,01-Jun-16,735,823.11,35,35,26.5,35,25.5,763.00,844.47
Private,LAXMIVILAS BANK LTD,01-Sep-16,763,844.47,223,223,235.16,223,235.16,843.00,1036.23
Private,LAXMIVILAS BANK LTD,01-Dec-16,843,1036.23,163,163,316.56,163,315.53,985.00,1258.7
Private,LAXMIVILAS BANK LTD,01-Mar-17,481,566,1,1,1.2,1,0.4,481.00,565.98
Private,LAXMIVILAS BANK LTD,01-Jun-17,,,,,,,,,
Private,LAXMIVILAS BANK LTD,01-Sep-17,1078,1771,191,191,389,191,389,1122.00,1905.1
Private,LAXMIVILAS BANK LTD,01-Dec-17,,,,,,,,,
Private,LAXMIVILAS BANK LTD,01-Mar-18,1206,2059,187,187,370,187,370,1312.00,2355
Private,LAXMIVILAS BANK LTD,01-Jun-18,1312,2355,137,137,145,137,145,1202.00,2325
Private,LAXMIVILAS BANK LTD,01-Sep-18,1202,2325,144,144,165,144,165,1215.00,2360
Private,LAXMIVILAS BANK LTD,01-Dec-18,,,,,,,,,
Private,SOUTH INDIAN BANK LT,01-Mar-09,,,,,,,,,
Private,SOUTH INDIAN BANK LT,01-Jun-09,47500,26400,19157,19157,7551,17452,6097,63732.00,39181
Private,SOUTH INDIAN BANK LT,01-Sep-09,63732,39181,28649,28649,10132,28128,9530,41646.00,27736
Private,SOUTH INDIAN BANK LT,01-Dec-09,,,,,,,,,
Private,SOUTH INDIAN BANK LT,01-Mar-10,41713,25696,515,485,367,453,355,41456.00,39277
Private,SOUTH INDIAN BANK LT,01-Jun-10,41456,39277,74300,74253,57976,74220,57576,116450.00,82579
Private,SOUTH INDIAN BANK LT,01-Sep-10,116450,82579,82856,82358,64298.82,83315,63858,128427.00,9783.92
Private,SOUTH INDIAN BANK LT,01-Dec-10,128427,9783.92,90065,89522,69891.73,89472,69409.58,139198.00,106192.44
Private,SOUTH INDIAN BANK LT,01-Mar-11,139198,106192.44,90053,97282,76102.23,89750,69717.82,151104.00,115641.1
